Farm_ID,Crop_Type,Farm_Area(acres),Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Season,Water_Usage(cubic meters),z_score,fertilizer_to_yield_ratio,pesticide_to_yield_ratio,water_to_yield_ratio,Irrigation_Type_Drip,Irrigation_Type_Flood,Irrigation_Type_Manual,Irrigation_Type_Rain-fed,Irrigation_Type_Sprinkler,Soil_Type_Clay,Soil_Type_Loamy,Soil_Type_Peaty,Soil_Type_Sandy,Soil_Type_Silty
F016,Barley,60.22,2.19,0.35,16.03,Zaid,25132.48,0.834808195246373,7.319634703196348,45.800000000000004,0.0006378200639172895,False,True,False,False,False,False,False,False,True,False
F017,Carrot,284.01,5.89,0.81,47.7,Zaid,88301.46,1.5623172121678215,8.098471986417659,58.888888888888886,0.0005401949186344144,False,False,True,False,False,False,True,False,False,False
F018,Maize,128.23,4.91,0.77,16.67,Rabi,18660.03,0.7863661282825243,3.3951120162932793,21.64935064935065,0.0008933533333011792,False,False,False,True,False,False,True,False,False,False
F019,Maize,460.93,1.09,1.31,39.96,Zaid,54314.28,0.9764709648237777,36.6605504587156,30.50381679389313,0.0007357181205384661,True,False,False,False,False,False,False,False,True,False
F020,Barley,58.85,3.61,3.32,18.85,Kharif,92481.89,0.6213603376869151,5.2216066481994465,5.677710843373495,0.0002038236891568717,False,False,False,False,True,False,False,False,True,False
F021,Cotton,377.05,5.95,0.91,29.17,Rabi,26743.55,0.15976799210514317,4.902521008403362,32.05494505494506,0.0010907302882377247,True,False,False,False,False,True,False,False,False,False
F022,Wheat,92.67,6.95,3.64,30.7,Rabi,42874.34,0.27557480844059346,4.41726618705036,8.434065934065934,0.000716046007938548,False,True,False,False,False,True,False,False,False,False
F023,Potato,15.67,9.95,2.99,18.13,Zaid,41862.86,0.675857663021245,1.822110552763819,6.063545150501671,0.00043308077852301534,True,False,False,False,False,False,True,False,False,False
F024,Rice,483.88,6.31,2.29,34.46,Zaid,61383.07,0.560171951853204,5.461172741679873,15.048034934497817,0.0005613925794196999,True,False,False,False,False,True,False,False,False,False
F025,Barley,75.64,6.69,3.57,6.14,Zaid,43847.82,1.5833895112970955,0.9177877428998504,1.7198879551820727,0.0001400297665881679,False,True,False,False,False,False,False,False,False,True
F026,Wheat,162.28,5.85,2.42,24.63,Rabi,65838.4,0.18386792041965785,4.21025641025641,10.177685950413222,0.00037409779095482274,False,True,False,False,False,False,True,False,False,False
F027,Cotton,375.1,0.5,4.76,22.51,Kharif,39362.44,0.34433226723740606,45.02,4.728991596638656,0.000571864955526131,False,False,False,True,False,True,False,False,False,False
F028,Tomato,256.19,7.32,2.19,48.02,Rabi,81313.04,1.5865382456497459,6.560109289617486,21.926940639269407,0.000590557184923845,False,True,False,False,False,False,False,False,False,True
F029,Wheat,288.52,1.79,4.78,36.9,Zaid,23208.04,0.7448573321528765,20.614525139664803,7.719665271966527,0.0015899662358389592,False,False,True,False,False,False,False,False,False,True
F030,Potato,286.52,8.91,0.77,30.5,Zaid,93407.38,0.26043666251439085,3.423120089786756,39.61038961038961,0.0003265266620260626,False,False,False,True,False,False,True,False,False,False
F031,Barley,136.16,5.89,1.36,11.86,Zaid,30098.35,1.150438537807699,2.0135823429541597,8.720588235294116,0.00039404153383823363,False,True,False,False,False,True,False,False,False,False
F032,Carrot,350.42,8.4,2.94,24.34,Rabi,71580.87,0.20581823201265168,2.8976190476190475,8.27891156462585,0.00034003498420737274,False,True,False,False,False,True,False,False,False,False
F033,Barley,446.76,7.79,0.96,46.47,Zaid,93656.06,1.4692176147216747,5.965340179717587,48.40625,0.0004961771827685256,True,False,False,False,False,False,True,False,False,False
F034,Tomato,264.12,4.75,4.79,12.92,Rabi,92745.01,1.0702063643988247,2.72,2.697286012526096,0.00013930668614947587,True,False,False,False,False,False,True,False,False,False
F035,Soybean,266.03,8.57,1.35,34.45,Zaid,43610.21,0.559415044556894,4.019836639439907,25.51851851851852,0.0007899526280657673,True,False,False,False,False,False,False,False,False,True
F036,Cotton,446.16,4.35,3.47,12.53,Zaid,38874.28,1.09972574895492,2.8804597701149426,3.6109510086455328,0.0003223210822168282,False,False,True,False,False,False,True,False,False,False
F037,Soybean,156.1,1.18,4.43,40.15,Zaid,73646.55,0.99085220345367,34.02542372881356,9.063205417607223,0.000545171498189664,False,False,True,False,False,False,True,False,False,False
F038,Barley,431.22,5.71,3.18,45.95,Kharif,36065.94,1.4298584353135482,8.047285464098074,14.449685534591195,0.0012740552443662914,True,False,False,False,False,False,False,False,False,True
F039,Cotton,220.48,9.96,2.91,10.53,Zaid,82549.03,1.251107208216947,1.0572289156626504,3.6185567010309274,0.00012756055401256684,False,True,False,False,False,True,False,False,False,False
F040,Cotton,166.82,2.85,1.36,46.19,Zaid,12007.7,1.448024210424991,16.20701754385965,33.963235294117645,0.003846698368546849,False,False,False,True,False,False,False,False,True,False
F041,Rice,370.79,8.18,4.99,35.01,Kharif,85208.71,0.6018018531502611,4.2799511002444985,7.016032064128256,0.0004108734893416412,False,True,False,False,False,False,False,False,True,False
F042,Sugarcane,418.99,0.78,0.58,26.29,Zaid,33705.69,0.05822130923217561,33.705128205128204,45.327586206896555,0.0007799869992277268,False,False,False,False,True,True,False,False,False,False
F043,Cotton,78.79,1.35,3.0,11.45,Zaid,94754.73,1.1814717369564145,8.481481481481481,3.8166666666666664,0.00012083829482707618,False,True,False,False,False,False,False,False,True,False
F044,Soybean,84.12,4.64,2.53,24.77,Rabi,40614.4,0.17327121827131595,5.338362068965518,9.790513833992096,0.0006098822092656792,False,False,True,False,False,False,False,False,True,False
F045,Tomato,326.69,5.24,0.55,18.34,Kharif,37466.11,0.6599626097987321,3.5,33.345454545454544,0.0004895090523142114,False,False,False,False,True,False,False,True,False,False
F046,Carrot,112.8,1.8,1.01,31.57,Kharif,79966.1,0.3414257432195752,17.538888888888888,31.257425742574256,0.000394792293234258,False,False,False,False,True,True,False,False,False,False
F047,Potato,347.66,3.86,2.68,31.47,Kharif,86989.88,0.33385667025647375,8.152849740932643,11.742537313432834,0.000361766219242974,True,False,False,False,False,False,False,False,True,False
F048,Potato,77.39,9.34,3.0,20.53,Zaid,5874.17,0.4941999119068126,2.1980728051391862,6.843333333333334,0.003494961841417596,False,False,False,False,True,False,False,False,False,True
F049,Barley,462.37,2.3,0.14,39.51,Kharif,53879.87,0.9424101364898214,17.178260869565218,282.21428571428567,0.00073329798308719,False,False,False,False,True,True,False,False,False,False
F050,Tomato,292.25,4.08,0.76,45.14,Kharif,90232.08,1.368548944312427,11.063725490196079,59.39473684210526,0.0005002655374895491,False,False,False,True,False,False,False,False,False,True
